"Antibiotic","feature","coef","pval","qval"
"AMK","hsdR",-1.10770645102491,6.93496087317511e-09,4.56320425454922e-06
"AMK","yjiY",-1.16004210708241,4.36832949868802e-08,1.43718040506836e-05
"AMK","yagF",1.30030987513969,5.22054806209105e-07,0.00011450402082853
"AMK","ydbD",0.971888474608381,9.05302625484204e-06,0.00148922281892152
"AMK","yagG",1.02494729645824,4.10775204119589e-05,0.00540580168621379
"AMK","pdxY",0.118465343377996,0.000383125523871475,0.0360137992439187
"AMK","sdaC",0.203359859931679,0.000339623616387586,0.0360137992439187
"AZM","hsdR",-1.12116018165165,3.46135713704943e-07,5.26126284831514e-05
"AZM","yjiY",-1.17291704291711,8.72504666494556e-07,6.63103546535862e-05
"AZM","yagF",1.23151836340908,2.71282012739053e-06,0.00013744955312112
"AZM","yagG",1.04266251195069,2.18675166699452e-05,0.000830965633457919
"AZM","ybaY",-0.100626339009302,9.3056918168745e-05,0.00282893031232985
"AZM","osmC",-0.105726158221101,0.000218995068021443,0.00475532147703704
"AZM","yoaC",-0.0937410255523161,0.000210297339691934,0.00475532147703704
"AZM","sra",-0.0783208840602846,0.000318050915464081,0.005900668235216
"AZM","ydbD",0.850825822091853,0.000349381671822,0.005900668235216
"AZM","yodD",-0.145336448798994,0.000408347635366965,0.00620688405757787
"AZM","ecnB",-0.113003657827942,0.000487384239685449,0.00629807664641991
"AZM","yncG",-0.122608786514902,0.000497216577348941,0.00629807664641991
"AZM","ysaB",0.119317458047635,0.000834198104674674,0.00975370091619619
"AZM","yjbH",0.459259829734507,0.000907544318941091,0.00985333831993184
"AZM","yjbF",0.421346988827806,0.00120819573557465,0.0122430501204898
"AZM","yncC",-0.161710933834446,0.00131747523167971,0.0125160147009573
"AZM","rpoS",-0.0842733150700357,0.00205487753806141,0.018373022693255
"AZM","yeaQ",-0.0888567467456263,0.0024667219536774,0.0208300964977203
"AZM","argF",0.214141011663588,0.00277224767588625,0.0210690823367355
"AZM","yiaB",0.436560013651396,0.00266312393765767,0.0210690823367355
"CFIX","ydbD",0.856245256044103,2.8718068813037e-08,1.88390531413523e-05
"CFIX","hsdR",-1.15201487613888,4.35005151983888e-07,7.59741045010439e-05
"CFIX","yagG",1.09280640238884,4.63256734762463e-07,7.59741045010439e-05
"CFIX","yjiY",-1.15636664639744,3.12023139865737e-07,7.59741045010439e-05
"CFIX","yagF",1.26664364343607,3.20455543135287e-06,0.000420437672593497
"CFIX","emrB",0.151290141164965,2.59546066888199e-05,0.00283770366464431
"CFIX","ryeE",0.197619778744055,7.16991012176079e-05,0.0067192300569644
"CFIX","osmB",-0.189434688562086,0.000503083842859213,0.0330023000915644
"CFIX","osmY",-0.0929303958496238,0.000459176678307853,0.0330023000915644
"CFIX","ydeH",-0.18239829751209,0.000491298194871477,0.0330023000915644
"CFIX","bdm",-0.195259442748251,0.000720353993125818,0.0429592926809579
"CP","hsdR",-1.15457049043756,2.52089850099844e-07,0.000125282137439177
"CP","yagG",1.03225458208334,5.400092130999e-07,0.000125282137439177
"CP","yjiY",-1.16807875050888,4.00273263136967e-07,0.000125282137439177
"CP","yagF",1.24198078674404,5.91602262531868e-06,0.00102938793680545
"CP","ygjG",-0.163639207139912,1.34400338266038e-05,0.00187085270866326
"CP","rtT",0.175135563080544,3.7707615017816e-05,0.00406051527754076
"CP","yohC",-0.294097586283262,4.08385157223927e-05,0.00406051527754076
"CP","intB",-0.756047163818696,9.63224212071182e-05,0.00699373444912634
"CP","ydbD",0.852439909990884,0.000112695702208399,0.00699373444912634
"CP","yedP",-0.179565795210988,9.05119721762098e-05,0.00699373444912634
