"feature","metadata","value","coef","stderr","pval","qval","base.model","tweedie.index","N","N.not.zero","percent.zero","Antibiotic"
"ybcI","ResistanceType","No",0.232021884360707,0.0462710003773448,0.00741453010941166,0.152148904483762,"CPLM",1.01,6,6,0,"CPZ"
"ycaC","ResistanceType","No",-0.18149437065571,0.0358432162991015,0.00716263333199663,0.152148904483762,"CPLM",1.99,6,6,0,"CPZ"
"yedS_3","ResistanceType","No",0.163059133228937,0.0324478860563374,0.00735800836426306,0.152148904483762,"CPLM",1.01,6,6,0,"CPZ"
"yhiN","ResistanceType","No",0.141695308604529,0.0262733867834948,0.00571838900013211,0.152148904483762,"CPLM",1.01,6,6,0,"CPZ"
"yhjE","ResistanceType","No",0.147953002760823,0.0299578438560354,0.00782400503177419,0.152148904483762,"CPLM",1.01,6,6,0,"CPZ"
"yicE","ResistanceType","No",0.125968653372011,0.0228095095504917,0.00524970388869119,0.152148904483762,"CPLM",1.01,6,6,0,"CPZ"
"yjbA","ResistanceType","No",-0.140936461357177,0.0281099720685939,0.00741798218913927,0.152148904483762,"CPLM",1.99,6,6,0,"CPZ"
"yjgB","ResistanceType","No",-0.220060199478199,0.042418995101523,0.00657108551216772,0.152148904483762,"CPLM",1.99,6,6,0,"CPZ"
"ymdF","ResistanceType","No",-0.361564785287051,0.0690198650004413,0.00634648770959322,0.152148904483762,"CPLM",1.99,6,6,0,"CPZ"
"yqeF","ResistanceType","No",0.258446289418078,0.0462303300690102,0.00502323216259451,0.152148904483762,"CPLM",1.01,6,6,0,"CPZ"
"glk","ResistanceType","No",0.109253599040558,0.0224858847365905,0.00828669789909901,0.157778727998845,"CPLM",1.01,6,6,0,"CPZ"
"rumB","ResistanceType","No",0.132169755045719,0.0274369080038612,0.00854025267050266,0.159418049849383,"CPLM",1.01,6,6,0,"CPZ"
"dgsA","ResistanceType","No",0.128767643559949,0.0277007032973613,0.00967205439144448,0.163391124242981,"CPLM",1.01,6,6,0,"CPZ"
"fadL","ResistanceType","No",0.216075665034005,0.0468695140364224,0.00995450126690432,0.163391124242981,"CPLM",1.01,6,6,0,"CPZ"
"ftn","ResistanceType","No",0.198426367457764,0.0424327848091114,0.00947410538124342,0.163391124242981,"CPLM",1.01,6,6,0,"CPZ"
"glnP","ResistanceType","No",0.135087734568807,0.0292776241099747,0.00992555017668765,0.163391124242981,"CPLM",1.01,6,6,0,"CPZ"
"pheP","ResistanceType","No",0.144268027833246,0.0303316189169557,0.00892906146080576,0.163391124242981,"CPLM",1.01,6,6,0,"CPZ"
"yeeV","ResistanceType","No",0.146503391420622,0.0313523863044173,0.00949849234143548,0.163391124242981,"CPLM",1.01,6,6,0,"CPZ"
"yieF","ResistanceType","No",-0.0939655218574375,0.0201120971327808,0.00950351001078781,0.163391124242981,"CPLM",1.99,6,6,0,"CPZ"
"argA","ResistanceType","No",0.208229614817239,0.0469091202578189,0.0113427176310063,0.183021477707085,"CPLM",1.01,6,6,0,"CPZ"
"ybhC","ResistanceType","No",0.120495590395961,0.0273079118785072,0.0115782948151605,0.183708944400546,"CPLM",1.01,6,6,0,"CPZ"
"yiiF","ResistanceType","No",-0.164327851222439,0.0375017222899509,0.0118575390114218,0.185055362932354,"CPLM",1.99,6,6,0,"CPZ"
"lamB","ResistanceType","No",0.304209114755585,0.0719727549634087,0.0134051472173461,0.186702544960051,"CPLM",1.01,6,6,0,"CPZ"
"lrhA","ResistanceType","No",0.13515737686459,0.0313976129358824,0.0125986756902123,0.186702544960051,"CPLM",1.01,6,6,0,"CPZ"
"osmB","ResistanceType","No",-0.211968744198358,0.0491044950084419,0.0124799793912353,0.186702544960051,"CPLM",1.99,6,6,0,"CPZ"
"tyrA","ResistanceType","No",0.111456391687237,0.0264429492908068,0.0135320121872306,0.186702544960051,"CPLM",1.01,6,6,0,"CPZ"
"ybhB","ResistanceType","No",-0.0967019408380243,0.0227514002762798,0.0131541563450148,0.186702544960051,"CPLM",1.99,6,6,0,"CPZ"
"yciN","ResistanceType","No",-0.0871736389186905,0.0203346195990754,0.0127769382970363,0.186702544960051,"CPLM",1.99,6,6,0,"CPZ"
"yeeF","ResistanceType","No",0.128190626027891,0.0302862961087398,0.0133419655589508,0.186702544960051,"CPLM",1.01,6,6,0,"CPZ"
"ygaC","ResistanceType","No",-0.171192306229963,0.0397066173415536,0.0125318773202523,0.186702544960051,"CPLM",1.99,6,6,0,"CPZ"
"glnQ","ResistanceType","No",0.119533239025631,0.0289647052705548,0.0145310164519226,0.18869050285668,"CPLM",1.01,6,6,0,"CPZ"
"kdtA","ResistanceType","No",0.144091208726238,0.0350125147549245,0.0146671189195319,0.18869050285668,"CPLM",1.01,6,6,0,"CPZ"
"manX","ResistanceType","No",0.128754579844519,0.0310479947350732,0.0142955792751105,0.18869050285668,"CPLM",1.01,6,6,0,"CPZ"
"yfcZ","ResistanceType","No",-0.110702037105292,0.0267606634036674,0.0144146042429544,0.18869050285668,"CPLM",1.99,6,6,0,"CPZ"
"yjfN","ResistanceType","No",-0.170022910474058,0.0408723382748144,0.0141468638800669,0.18869050285668,"CPLM",1.99,6,6,0,"CPZ"
"adhP","ResistanceType","No",-0.167176340593924,0.0413174737917269,0.0155250712869548,0.189675607155477,"CPLM",1.99,6,6,0,"CPZ"
"metJ","ResistanceType","No",-0.0508112136136775,0.0125421841430613,0.0154600929548731,0.189675607155477,"CPLM",1.99,6,6,0,"CPZ"
"narP","ResistanceType","No",0.128646553767557,0.0320874634423259,0.0160066052406353,0.189675607155477,"CPLM",1.01,6,6,0,"CPZ"
"pntB","ResistanceType","No",0.129843454116458,0.0324163945596949,0.0160566726801199,0.189675607155477,"CPLM",1.01,6,6,0,"CPZ"
"tpiA","ResistanceType","No",-0.0818341744606755,0.0204464956511922,0.0160985050099889,0.189675607155477,"CPLM",1.99,6,6,0,"CPZ"
"ydgH","ResistanceType","No",0.0971286406164788,0.0243322154880739,0.0162409445065109,0.189675607155477,"CPLM",1.01,6,6,0,"CPZ"
"ydhA","ResistanceType","No",-0.0851690668527292,0.0213742839020332,0.0163376048180138,0.189675607155477,"CPLM",1.99,6,6,0,"CPZ"
"yhfZ","ResistanceType","No",0.175137706080314,0.0435132345830746,0.0157997536760629,0.189675607155477,"CPLM",1.01,6,6,0,"CPZ"
"manY","ResistanceType","No",0.113070589081219,0.0284846602735586,0.0165452497604596,0.189772021348886,"CPLM",1.01,6,6,0,"CPZ"
"glgX","ResistanceType","No",0.108425392822969,0.0281570998420717,0.018291202121368,0.193599991231544,"CPLM",1.01,6,6,0,"CPZ"
"manZ","ResistanceType","No",0.115210172733819,0.0299246813201782,0.0183025201794527,0.193599991231544,"CPLM",1.01,6,6,0,"CPZ"
"metC","ResistanceType","No",0.125749343609936,0.0323780923411075,0.0177841651155912,0.193599991231544,"CPLM",1.01,6,6,0,"CPZ"
"metV","ResistanceType","No",0.0860644130777587,0.0222985622944711,0.0181528240483565,0.193599991231544,"CPLM",1.01,6,6,0,"CPZ"
"metW","ResistanceType","No",0.0893477705815486,0.0231587764581391,0.0181773847631783,0.193599991231544,"CPLM",1.01,6,6,0,"CPZ"
"metZ","ResistanceType","No",0.092974576113701,0.0237215917648372,0.0172563093198638,0.193599991231544,"CPLM",1.01,6,6,0,"CPZ"
"rraA","ResistanceType","No",-0.0547511516109468,0.0140798324272131,0.0177112757296576,0.193599991231544,"CPLM",1.99,6,6,0,"CPZ"
"ytfK","ResistanceType","No",-0.201394238602845,0.0525541149923681,0.0185841790267057,0.194419103663998,"CPLM",1.99,6,6,0,"CPZ"
"malZ","ResistanceType","No",0.206223825476438,0.0540300400188864,0.0188293150701398,0.194842477682316,"CPLM",1.01,6,6,0,"CPZ"
"glgB","ResistanceType","No",0.102347681313378,0.0270098610360744,0.0192809894320454,0.195271297226673,"CPLM",1.01,6,6,0,"CPZ"
"rbsD","ResistanceType","No",0.247250596059532,0.0650743555433923,0.019111735631872,0.195271297226673,"CPLM",1.01,6,6,0,"CPZ"
"metY","ResistanceType","No",0.0983907554495253,0.0264775704320072,0.0205460341350791,0.201647675222632,"CPLM",1.01,6,6,0,"CPZ"
"mglB","ResistanceType","No",0.255938544105139,0.0688298477128103,0.0205026951819235,0.201647675222632,"CPLM",1.01,6,6,0,"CPZ"
"speC","ResistanceType","No",0.137092716106175,0.0367459852617438,0.0202823632726383,0.201647675222632,"CPLM",1.01,6,6,0,"CPZ"
"ybgA","ResistanceType","No",-0.0786053032008786,0.0212535419436093,0.0208635945775186,0.202674918753038,"CPLM",1.99,6,6,0,"CPZ"
"bdm","ResistanceType","No",-0.278518554906118,0.0767245851497682,0.0221577640041082,0.202828762806836,"CPLM",1.99,6,6,0,"CPZ"
"glpT","ResistanceType","No",0.237290350372284,0.0647915889297332,0.021535419507035,0.202828762806836,"CPLM",1.01,6,6,0,"CPZ"
"ilvC","ResistanceType","No",0.108916748733399,0.0298699445307122,0.0218414379787785,0.202828762806836,"CPLM",1.01,6,6,0,"CPZ"
"kdpC","ResistanceType","No",-0.12778716283483,0.0350398963390782,0.0218310480043568,0.202828762806836,"CPLM",1.99,6,6,0,"CPZ"
"stpA","ResistanceType","No",0.118645100960318,0.0326790592851013,0.0221478124188718,0.202828762806836,"CPLM",1.01,6,6,0,"CPZ"
"yqgB","ResistanceType","No",0.102199192161346,0.0280285743144995,0.0218436728051463,0.202828762806836,"CPLM",1.01,6,6,0,"CPZ"
"aroF","ResistanceType","No",0.0973440821519619,0.0269714905517112,0.0225737084749137,0.203697700277095,"CPLM",1.01,6,6,0,"CPZ"
"btuC","ResistanceType","No",0.138816826110509,0.0387234740634041,0.0230681085905989,0.203697700277095,"CPLM",1.01,6,6,0,"CPZ"
"pstA","ResistanceType","No",0.101819718832609,0.0284185516950473,0.0231085626364772,0.203697700277095,"CPLM",1.01,6,6,0,"CPZ"
"serW","ResistanceType","No",0.15488305122207,0.0431283210340895,0.0229369696929426,0.203697700277095,"CPLM",1.01,6,6,0,"CPZ"
"aspC","ResistanceType","No",0.0960503264170076,0.0271161873860785,0.0239664602966486,0.203714912521513,"CPLM",1.01,6,6,0,"CPZ"
"yibT","ResistanceType","No",-0.107684895174984,0.03039438703171,0.0239504397228129,0.203714912521513,"CPLM",1.99,6,6,0,"CPZ"
"yiiT","ResistanceType","No",-0.121130601915066,0.0339265220992624,0.0233677808299227,0.203714912521513,"CPLM",1.99,6,6,0,"CPZ"
"yodD","ResistanceType","No",-0.247561084348498,0.0697983666230123,0.0238670087204878,0.203714912521513,"CPLM",1.99,6,6,0,"CPZ"
"bacA","ResistanceType","No",0.13453664114731,0.0381485413509177,0.0243037802235378,0.204753971440779,"CPLM",1.01,6,6,0,"CPZ"
"IS092","ResistanceType","No",-0.0810625972696639,0.023122126051396,0.0247647863050101,0.206807689143594,"CPLM",1.99,6,6,0,"CPZ"
"metA","ResistanceType","No",0.132058193457907,0.0381375536662103,0.025754735261528,0.209330949442441,"CPLM",1.01,6,6,0,"CPZ"
"sra","ResistanceType","No",-0.18564108934868,0.0537381620897133,0.0259464832292101,0.209330949442441,"CPLM",1.99,6,6,0,"CPZ"
"yiiS","ResistanceType","No",-0.121605215487301,0.0351169821679859,0.0257505255487427,0.209330949442441,"CPLM",1.99,6,6,0,"CPZ"
"yobD","ResistanceType","No",0.140660179881014,0.0406915761731261,0.0258946592772596,0.209330949442441,"CPLM",1.01,6,6,0,"CPZ"
"mipA","ResistanceType","No",0.0959597150489769,0.0281070518869182,0.0269262125461396,0.213614619532708,"CPLM",1.01,6,6,0,"CPZ"
"serX","ResistanceType","No",0.153086763209137,0.0448248115235915,0.0268979175213935,0.213614619532708,"CPLM",1.01,6,6,0,"CPZ"
"selC","ResistanceType","No",0.126553403908109,0.037210597475023,0.0272521001204964,0.214413217476963,"CPLM",1.01,6,6,0,"CPZ"
"dapE","ResistanceType","No",0.119058062604156,0.0351783790333997,0.0276724518073073,0.21587659456018,"CPLM",1.01,6,6,0,"CPZ"
"xseA","ResistanceType","No",0.114575487669773,0.0339394817610997,0.0278916188349813,0.21587659456018,"CPLM",1.01,6,6,0,"CPZ"
"cysM","ResistanceType","No",0.0996281526223409,0.0296773008881449,0.0283824506263046,0.217903975776145,"CPLM",1.01,6,6,0,"CPZ"
"gltK","ResistanceType","No",0.127842830541029,0.0384837176570899,0.0293237719280524,0.221860521280717,"CPLM",1.01,6,6,0,"CPZ"
"malK","ResistanceType","No",0.401597513765987,0.121252542897546,0.029596939288499,0.221860521280717,"CPLM",1.01,6,6,0,"CPZ"
"yjcD","ResistanceType","No",0.13027140197797,0.0392872142395382,0.0294920377979794,0.221860521280717,"CPLM",1.01,6,6,0,"CPZ"
"aldA","ResistanceType","No",0.213380538951409,0.0647393730327722,0.030046069083869,0.22218703805855,"CPLM",1.01,6,6,0,"CPZ"
"atpI","ResistanceType","No",0.0925438194189304,0.0284045111698505,0.0311375479975768,0.22218703805855,"CPLM",1.01,6,6,0,"CPZ"
"gltJ","ResistanceType","No",0.13016909788723,0.0399463444512502,0.0311219510608355,0.22218703805855,"CPLM",1.01,6,6,0,"CPZ"
"malT","ResistanceType","No",0.148235878805719,0.0455629624275355,0.031274225945216,0.22218703805855,"CPLM",1.01,6,6,0,"CPZ"
"sufE","ResistanceType","No",-0.144017789216037,0.044138982686931,0.0309980867247938,0.22218703805855,"CPLM",1.99,6,6,0,"CPZ"
"suhB","ResistanceType","No",0.103360704404584,0.031653030505872,0.030922094021184,0.22218703805855,"CPLM",1.01,6,6,0,"CPZ"
"yliH","ResistanceType","No",-0.33424808952941,0.102582865219992,0.0311300501817226,0.22218703805855,"CPLM",1.99,6,6,0,"CPZ"
"acnA","ResistanceType","No",-0.0863429220496346,0.0272999953244157,0.034094135093996,0.226836908881531,"CPLM",1.99,6,6,0,"CPZ"
"argG","ResistanceType","No",0.0988402192950625,0.0308973166477896,0.0329324940627323,0.226836908881531,"CPLM",1.01,6,6,0,"CPZ"
"asd","ResistanceType","No",0.0939884926678497,0.0294784795099907,0.0332677649494678,0.226836908881531,"CPLM",1.01,6,6,0,"CPZ"
"bipA","ResistanceType","No",-0.048360619812742,0.0151501961541446,0.0331503634736132,0.226836908881531,"CPLM",1.99,6,6,0,"CPZ"
"gapC","ResistanceType","No",-0.0814144158475891,0.0252586453176091,0.032181642335176,0.226836908881531,"CPLM",1.99,6,6,0,"CPZ"
"grxB","ResistanceType","No",-0.0787820730822902,0.0245715328466178,0.0327059821372799,0.226836908881531,"CPLM",1.99,6,6,0,"CPZ"
"ilvB","ResistanceType","No",0.104450627502506,0.0330429226117236,0.0341493327388942,0.226836908881531,"CPLM",1.01,6,6,0,"CPZ"
"proL","ResistanceType","No",0.118008138551741,0.0371434536088609,0.0336286682268267,0.226836908881531,"CPLM",1.01,6,6,0,"CPZ"
"ptsG","ResistanceType","No",0.0960855661883087,0.0304441543058226,0.0343114652089711,0.226836908881531,"CPLM",1.01,6,6,0,"CPZ"
"ybdL","ResistanceType","No",0.154322556705303,0.0488121270539038,0.0341328594928417,0.226836908881531,"CPLM",1.01,6,6,0,"CPZ"
"argU","ResistanceType","No",0.147910905663641,0.0472318213046026,0.0351311861863164,0.227790314391672,"CPLM",1.01,6,6,0,"CPZ"
"arpB_1","ResistanceType","No",-0.180918168951784,0.0585676765913355,0.0366082839631084,0.227790314391672,"CPLM",1.99,6,6,0,"CPZ"
"carB","ResistanceType","No",0.0898693925182094,0.0294401369458812,0.0379311514203084,0.227790314391672,"CPLM",1.01,6,6,0,"CPZ"
"dctA","ResistanceType","No",0.187570306208791,0.0622998017334956,0.039520436144049,0.227790314391672,"CPLM",1.01,6,6,0,"CPZ"
"fbaB","ResistanceType","No",-0.132776159617976,0.0447469985042626,0.0412560348655044,0.227790314391672,"CPLM",1.99,6,6,0,"CPZ"
"gapC_2","ResistanceType","No",-0.0685932494610298,0.0220507332750302,0.0358475438460963,0.227790314391672,"CPLM",1.99,6,6,0,"CPZ"
"gltI","ResistanceType","No",0.114204591592303,0.0371061952485966,0.0370115764722764,0.227790314391672,"CPLM",1.01,6,6,0,"CPZ"
"hcaR","ResistanceType","No",0.153422006380768,0.0503574115228978,0.0381526014422355,0.227790314391672,"CPLM",1.01,6,6,0,"CPZ"
"hisQ","ResistanceType","No",0.116346587616957,0.03793253363336,0.0373949721183135,0.227790314391672,"CPLM",1.01,6,6,0,"CPZ"
"luxS","ResistanceType","No",-0.0533938070522116,0.0172987669247162,0.0366965117044119,0.227790314391672,"CPLM",1.99,6,6,0,"CPZ"
"modF","ResistanceType","No",0.104209296965331,0.0334479941715085,0.0356793734623629,0.227790314391672,"CPLM",1.01,6,6,0,"CPZ"
"ndk","ResistanceType","No",0.101451819000906,0.0337327617701078,0.03964721696115,0.227790314391672,"CPLM",1.01,6,6,0,"CPZ"
"osmC","ResistanceType","No",-0.211320228400463,0.07148911749743,0.0417207571174727,0.227790314391672,"CPLM",1.99,6,6,0,"CPZ"
"phnB","ResistanceType","No",-0.263495703408183,0.0893889145041102,0.042063604357841,0.227790314391672,"CPLM",1.99,6,6,0,"CPZ"
"potA","ResistanceType","No",0.108024029393789,0.0347317718035798,0.0358636772414996,0.227790314391672,"CPLM",1.01,6,6,0,"CPZ"
"spy","ResistanceType","No",-0.150625451252499,0.0506852352295231,0.0410717189782443,0.227790314391672,"CPLM",1.99,6,6,0,"CPZ"
"uraA","ResistanceType","No",0.213490760515971,0.0700208933588176,0.0380670050421612,0.227790314391672,"CPLM",1.01,6,6,0,"CPZ"
"ybaA","ResistanceType","No",-0.238777007164079,0.0787573131570587,0.0387118492288101,0.227790314391672,"CPLM",1.99,6,6,0,"CPZ"
"ybgS","ResistanceType","No",-0.252134095779454,0.0833218223128907,0.0389320604623438,0.227790314391672,"CPLM",1.99,6,6,0,"CPZ"
"ybjE","ResistanceType","No",0.142165979192718,0.0452514235066529,0.0347910479332174,0.227790314391672,"CPLM",1.01,6,6,0,"CPZ"
"ydeH","ResistanceType","No",-0.119379359285989,0.0391307138137171,0.0379990887721037,0.227790314391672,"CPLM",1.99,6,6,0,"CPZ"
"ydiJ","ResistanceType","No",0.102461356257331,0.0346864205981189,0.041805603219057,0.227790314391672,"CPLM",1.01,6,6,0,"CPZ"
"ydiY","ResistanceType","No",0.187193724247207,0.0623839325758972,0.0399155074192504,0.227790314391672,"CPLM",1.01,6,6,0,"CPZ"
"yeeI","ResistanceType","No",0.120490697135148,0.0391837075472176,0.0371110326538605,0.227790314391672,"CPLM",1.01,6,6,0,"CPZ"
"ygaM","ResistanceType","No",-0.131854714860077,0.0432535071120944,0.0380871615232649,0.227790314391672,"CPLM",1.99,6,6,0,"CPZ"
"ygiQ","ResistanceType","No",0.134376048774616,0.0455936880416476,0.0420842647870193,0.227790314391672,"CPLM",1.01,6,6,0,"CPZ"
"ygjO","ResistanceType","No",0.13968432372102,0.0474056229274511,0.04211249509762,0.227790314391672,"CPLM",1.01,6,6,0,"CPZ"
"yhdT","ResistanceType","No",0.130903249692409,0.0443562026230796,0.0419200436789192,0.227790314391672,"CPLM",1.01,6,6,0,"CPZ"
"yifE","ResistanceType","No",0.0800313845668542,0.0267357415801482,0.0402020008675281,0.227790314391672,"CPLM",1.01,6,6,0,"CPZ"
"yihE","ResistanceType","No",-0.0848850002023764,0.0284803436616064,0.040719666833155,0.227790314391672,"CPLM",1.99,6,6,0,"CPZ"
"yiiM","ResistanceType","No",-0.114378500066772,0.0383936452342683,0.0407751802085248,0.227790314391672,"CPLM",1.99,6,6,0,"CPZ"
"yjbJ","ResistanceType","No",-0.325739324887258,0.108096459368121,0.0394177175047983,0.227790314391672,"CPLM",1.99,6,6,0,"CPZ"
"carA","ResistanceType","No",0.104073080642139,0.0356932718011793,0.0434270754782153,0.228554463318814,"CPLM",1.01,6,6,0,"CPZ"
"hisA","ResistanceType","No",0.0881362304245957,0.0302146932483864,0.0433733844869968,0.228554463318814,"CPLM",1.01,6,6,0,"CPZ"
"yeaD","ResistanceType","No",0.104003343905321,0.035518979164272,0.0428947963652768,0.228554463318814,"CPLM",1.01,6,6,0,"CPZ"
"yehT","ResistanceType","No",0.132634146727564,0.045247069899589,0.0427569951314628,0.228554463318814,"CPLM",1.01,6,6,0,"CPZ"
"yihX","ResistanceType","No",-0.0766704189761784,0.0263007807721072,0.0434541574167073,0.228554463318814,"CPLM",1.99,6,6,0,"CPZ"
"ybiM","ResistanceType","No",-0.149637401967117,0.0514518762261131,0.0437526361620879,0.228707132937736,"CPLM",1.99,6,6,0,"CPZ"
"yohC","ResistanceType","No",-0.27455082665105,0.0945587415940557,0.0439636610584094,0.228707132937736,"CPLM",1.99,6,6,0,"CPZ"
"asnW","ResistanceType","No",0.0987336873038963,0.0342320695531689,0.0448213402873234,0.230782621064588,"CPLM",1.01,6,6,0,"CPZ"
"yciG","ResistanceType","No",-0.397409538719142,0.137814007050168,0.0448474631270471,0.230782621064588,"CPLM",1.99,6,6,0,"CPZ"
"gltL","ResistanceType","No",0.110441797170188,0.0384132012263769,0.0452356345888107,0.231528624347031,"CPLM",1.01,6,6,0,"CPZ"
"pyrB","ResistanceType","No",0.148406040501038,0.0519413096931496,0.0460601013577255,0.23324051325827,"CPLM",1.01,6,6,0,"CPZ"
"yliI","ResistanceType","No",-0.22335127917471,0.0781019909927719,0.0459416040653762,0.23324051325827,"CPLM",1.99,6,6,0,"CPZ"
"alaX","ResistanceType","No",0.125000883571487,0.0442232060349241,0.0475091273748034,0.234311809270697,"CPLM",1.01,6,6,0,"CPZ"
"aroA","ResistanceType","No",0.108204236294108,0.0388268158477344,0.0494712958649265,0.234311809270697,"CPLM",1.01,6,6,0,"CPZ"
"asnT","ResistanceType","No",0.0985930311814546,0.0352673844076602,0.049031705372356,0.234311809270697,"CPLM",1.01,6,6,0,"CPZ"
"dcp","ResistanceType","No",0.112293404901417,0.0402040585838033,0.0491569486123023,0.234311809270697,"CPLM",1.01,6,6,0,"CPZ"
"gapC_1","ResistanceType","No",-0.0721589752091908,0.025661904796115,0.0482231098678466,0.234311809270697,"CPLM",1.99,6,6,0,"CPZ"
