ID_REF	Parent strain_rep1	Parent strain_rep2	Cefoperazone (CPZ) resistant strain_Line1	Cefoperazone (CPZ) resistant strain_Line2	Cefoperazone (CPZ) resistant strain_Line3	Cefoperazone (CPZ) resistant strain_Line4	Cefixime (CFIX) resistant strain_Line1	Cefixime (CFIX) resistant strain_Line2	Cefixime (CFIX) resistant strain_Line3	Cefixime (CFIX) resistant strain_Line4	Amikacin (AMK) resistant strain_Line1	Amikacin (AMK) resistant strain_Line2	Amikacin (AMK) resistant strain_Line3	Amikacin (AMK) resistant strain_Line4	Neomycin (NM) resistant strain_Line1	Neomycin (NM) resistant strain_Line2	Neomycin (NM) resistant strain_Line3	Neomycin (NM) resistant strain_Line4	Doxycycline (DOXY) resistant strain_Line1	Doxycycline (DOXY) resistant strain_Line2	Doxycycline (DOXY) resistant strain_Line3	Doxycycline (DOXY) resistant strain_Line4	Chloramphenicol (CP) resistant strain_Line1	Chloramphenicol (CP) resistant strain_Line2	Chloramphenicol (CP) resistant strain_Line3	Chloramphenicol (CP) resistant strain_Line4	Azithromycin (AZM) resistant strain_Line1	Azithromycin (AZM) resistant strain_Line2	Azithromycin (AZM) resistant strain_Line3	Azithromycin (AZM) resistant strain_Line4	Trimethoprim (TP) resistant strain_Line1	Trimethoprim (TP) resistant strain_Line2	Trimethoprim (TP) resistant strain_Line3	Trimethoprim (TP) resistant strain_Line4	Enoxacin (ENX) resistant strain_Line1	Enoxacin (ENX) resistant strain_Line2	Enoxacin (ENX) resistant strain_Line3	Enoxacin (ENX) resistant strain_Line4	Ciprofloxacin (CPFX) resistant strain_Line1	Ciprofloxacin (CPFX) resistant strain_Line2	Ciprofloxacin (CPFX) resistant strain_Line3	Ciprofloxacin (CPFX) resistant strain_Line4
ybcW	6.863601726	7.629024238	5.746731179	7.281475417	5.26456275	6.442820929	5.681812083	7.017912643	5.496932667	5.086385488	6.007009964	6.740609417	6.661056429	4.944238821	6.313676274	5.206237345	6.238760298	6.71138875	5.664597071	5.945241964	5.847510321	5.814049393	6.431925583	5.369042548	6.693136631	7.263798333	6.661056429	6.145790429	5.578723774	9.072400583	5.014739476	6.760641833	4.798374976	6.333960548	5.995393369	5.958320726	7.436246452	8.477376714	5.295647452	5.26456275	6.53187225	5.80241106
ybcY	10.88921949	13.31035943	12.78141475	8.074936405	7.065945548	11.90369608	13.28538639	12.06895379	11.61858893	16.31659173	7.776372214	9.393855036	8.443395393	8.783495583	9.604329452	8.477376714	11.04167964	14.6780282	7.519716274	11.59514294	8.655708036	12.93187519	12.72494013	8.002539952	13.65325989	11.45598704	12.54304744	11.1774434	14.06183402	12.82178831	11.75951683	11.84933458	10.44219768	8.962020024	10.12761405	5.972327833	11.55065377	8.190293524	8.925835917	9.904793464	10.38697219	14.96356211
ybdA	111.1704986	115.2609502	78.4885694	175.9247836	210.4800405	374.4462548	114.1986865	66.68034512	447.2018274	106.7389368	262.642919	218.4124083	150.4663745	46.82200524	87.14743821	120.2612226	123.6890492	85.71397274	55.15608976	82.9180975	109.8702161	114.411146	74.5272831	130.0144658	45.5884481	121.6943243	117.3088474	91.82962821	165.8769367	118.179844	128.6478807	102.137185	405.7271071	42.02540702	203.9385857	150.4663745	127.446544	102.3925931	173.5123733	102.5895396	49.11478333	182.9189202
ybdB	373.1422512	392.1703298	368.7370238	1164.153946	2285.089179	1816.37393	512.7059774	229.0191893	2517.938143	265.0788012	1855.079214	1115.433652	695.3811774	313.9353583	294.7920429	291.0177429	687.9775536	247.8570643	256.8495274	325.746619	271.3812964	476.8459607	344.5478964	468.0913762	179.6723667	442.432281	410.5051167	252.2966012	679.0147083	405.7271071	388.2777869	422.7719071	777.185981	393.3899952	937.6273	320.7515095	420.7622762	387.0835952	788.1982714	426.6064583	276.8052136	671.490681
ybdD	543.34	521.0721905	439.2309762	409.1933702	265.0788012	250.9663083	258.108106	897.7625988	626.0457179	225.6737714	1231.107608	674.8324571	648.6023512	628.0369238	380.1602726	543.9588381	351.1473238	226.4628881	249.1400226	277.2672702	291.6035321	215.2208319	376.3171821	622.1865893	358.059025	291.6035321	683.403631	446.3061452	526.8469524	539.8144631	266.4898048	356.75345	761.1711071	547.7114786	313.3903976	507.2063452	431.9385131	416.1313774	221.7831667	279.263344	403.0439893	456.7724024
ybdF	8.022480357	6.431925583	6.22539175	12.47868802	6.611183381	8.368705393	12.16478657	6.888443726	7.082613	9.177218036	14.55356867	7.082613	7.456677905	7.314640202	7.661999655	6.598127952	7.164168083	8.477376714	6.905958607	8.801262607	8.146757452	7.281475417	10.33518375	13.52523925	11.30204417	13.00105408	10.2929143	9.2607465	10.87364365	8.822401321	11.92795567	7.352574155	6.431925583	10.12761405	8.424534048	9.560891881	8.464203583	10.1083379	8.190293524	9.994613369	10.62280521	7.436246452
ybdG	15.8931409	13.62961232	14.91579456	12.16478657	13.00105408	14.88963043	14.60561911	12.56334055	18.4361026	10.44219768	14.20710656	14.50680211	13.67740439	16.18096773	18.83761067	11.24228695	15.95178175	17.74699965	14.23506487	15.86448168	15.35840946	15.50306744	18.02207927	11.34408004	10.1083379	14.60561911	9.742218679	12.39351821	16.03131856	13.95908956	10.9158032	13.00105408	16.97275602	9.975052357	14.08347226	11.59514294	12.32927607	15.16264723	13.13769157	13.31035943	15.74998062	17.18020064
ybdH	797.343019	825.0486738	546.305506	703.0521714	595.4041833	630.4964762	707.6707429	997.4326262	571.2916155	583.4465429	478.3454119	666.6267429	535.4339833	775.3799881	814.3978512	401.820344	608.5874929	289.1013649	590.2796095	549.341719	721.5032881	609.3732012	414.2999726	526.0479607	600.523575	731.7406381	868.126219	796.5833167	803.948175	678.2885167	932.4328583	685.4704202	1180.505473	603.1847476	742.8577762	1087.374574	671.490681	710.4094619	566.629656	468.0913762	920.550669	551.3771726
ybdJ	33.56951821	34.66951631	34.9111844	34.73329906	48.47824298	42.54870012	42.35730726	35.21754143	32.65077476	34.08074119	29.71408107	35.1140944	36.02168	28.24521643	40.52435298	43.18138048	30.77620338	42.94684357	27.27962095	31.39705214	26.73081702	24.96179506	39.68561726	25.01302425	20.94681295	29.66317048	47.09255179	50.29355131	38.68045929	43.47609179	38.5292619	22.38039869	29.0753475	24.37092724	30.41036667	15.08264585	30.50264476	30.66086893	26.07404381	26.88329521	22.88680132	35.16497405
ybdK	17.0989798	16.9019153	19.53079606	18.4361026	16.62307325	18.02207927	21.81698789	20.36579813	23.10565905	19.16902508	15.10898237	16.866313	14.15551681	15.68706657	18.04894169	12.46022446	19.08271925	20.36579813	17.1520052	23.44375442	21.43774421	13.47932106	18.57284171	20.16169264	16.48590952	14.26207636	10.62280521	19.4950223	18.12980369	18.10794106	17.51446787	20.68676926	21.67558925	13.33406751	20.5890295	18.26793367	16.67805148	14.99737498	23.14494323	18.12980369	16.93754908	14.41182612
