feature	metadata	value	coef	stderr	pval	qval	base.model	tweedie.index	N	N.not.zero	percent.zero
ydjN	ResistanceType	No	0.121807902000721	0.0296075435752177	0.0146831253306355	0.140962749764831	CPLM	1.01	6	6	0
ygjG	ResistanceType	No	-0.169382321206413	0.0414875777905399	0.0150647213489132	0.140962749764831	CPLM	1.99	6	6	0
yhfG	ResistanceType	No	-0.136121520306645	0.0310935835274403	0.0118953213543211	0.140962749764831	CPLM	1.99	6	6	0
yhfZ	ResistanceType	No	0.168400426251118	0.0397333932121839	0.0132820165242506	0.140962749764831	CPLM	1.01	6	6	0
yihM	ResistanceType	No	0.179752987634071	0.0396073588627525	0.0105101084917516	0.140962749764831	CPLM	1.01	6	6	0
yliI	ResistanceType	No	-0.156091976885357	0.0342591690643177	0.0103686061450965	0.140962749764831	CPLM	1.99	6	6	0
yrbL	ResistanceType	No	-0.0573818697019073	0.0130327054079418	0.0116647147684746	0.140962749764831	CPLM	1.99	6	6	0
rseA	ResistanceType	No	-0.0485828250880201	0.0120222270843442	0.0155900416801508	0.143318979656123	CPLM	1.99	6	6	0
ybiM	ResistanceType	No	-0.139581133006401	0.0349052726468445	0.0161454570391768	0.143393550653028	CPLM	1.99	6	6	0
ydhQ	ResistanceType	No	-0.0544491645232694	0.0135772310157202	0.0159922234714041	0.143393550653028	CPLM	1.99	6	6	0
argA	ResistanceType	No	0.139521194414028	0.035764787037111	0.0175254936559663	0.148055252927103	CPLM	1.01	6	6	0
emrB	ResistanceType	No	0.150628766468739	0.0388634475987792	0.0179043044009253	0.148055252927103	CPLM	1.01	6	6	0
gadA	ResistanceType	No	-0.322996221897827	0.0829227482603413	0.0176136711065668	0.148055252927103	CPLM	1.99	6	6	0
ilvL	ResistanceType	No	0.0699496529364769	0.0182473894992847	0.0185639116910987	0.148055252927103	CPLM	1.01	6	6	0
lysC	ResistanceType	No	0.105543075449865	0.0268390067276242	0.0170677753026752	0.148055252927103	CPLM	1.01	6	6	0
yedP	ResistanceType	No	-0.151692255390713	0.0395858011375905	0.018586472742663	0.148055252927103	CPLM	1.99	6	6	0
yodD	ResistanceType	No	-0.238233449834989	0.0622325841219885	0.0186481807121923	0.148055252927103	CPLM	1.99	6	6	0
cstA	ResistanceType	No	0.255095912361097	0.0695431833286783	0.0214256974472626	0.155032120177124	CPLM	1.01	6	6	0
dgsA	ResistanceType	No	0.118109437147583	0.032491248277566	0.0220597616571531	0.155032120177124	CPLM	1.01	6	6	0
gadB	ResistanceType	No	-0.30543456794124	0.0817986314997012	0.0202266617058779	0.155032120177124	CPLM	1.99	6	6	0
gapC_1	ResistanceType	No	-0.0902125193981498	0.0246957649361722	0.0217147697995262	0.155032120177124	CPLM	1.99	6	6	0
hdeD	ResistanceType	No	-0.219145125463636	0.0600858695929406	0.0218253743256644	0.155032120177124	CPLM	1.99	6	6	0
rydB	ResistanceType	No	-0.0995504379465335	0.0272169040155688	0.0216246790581444	0.155032120177124	CPLM	1.99	6	6	0
ydiH	ResistanceType	No	-0.0826793459893101	0.0227862095908887	0.0221897118574128	0.155032120177124	CPLM	1.99	6	6	0
yebW	ResistanceType	No	-0.0689910713186935	0.0184010986696605	0.0199593578015784	0.155032120177124	CPLM	1.99	6	6	0
yohF	ResistanceType	No	-0.188502433053134	0.0517945113615578	0.0219757523917725	0.155032120177124	CPLM	1.99	6	6	0
ecnB	ResistanceType	No	-0.131233173807872	0.0364955684032088	0.0228420795699	0.157490127560889	CPLM	1.99	6	6	0
lysP	ResistanceType	No	0.125778773379233	0.0356436524227651	0.0242571145732791	0.159666281660364	CPLM	1.01	6	6	0
maa	ResistanceType	No	0.135647773318069	0.0384811644913128	0.0243390621329748	0.159666281660364	CPLM	1.01	6	6	0
sufS	ResistanceType	No	-0.0725344863667411	0.0205537046471939	0.0242519155975954	0.159666281660364	CPLM	1.99	6	6	0
