feature	metadata	value	coef	stderr	pval	qval	base.model	tweedie.index	N	N.not.zero	percent.zero
glk	ResistanceType	No	0.109253599040558	0.0224858847365905	0.00828669789909901	0.157778727998845	CPLM	1.01	6	6	0
rumB	ResistanceType	No	0.132169755045719	0.0274369080038612	0.00854025267050266	0.159418049849383	CPLM	1.01	6	6	0
dgsA	ResistanceType	No	0.128767643559949	0.0277007032973613	0.00967205439144448	0.163391124242981	CPLM	1.01	6	6	0
fadL	ResistanceType	No	0.216075665034005	0.0468695140364224	0.00995450126690432	0.163391124242981	CPLM	1.01	6	6	0
ftn	ResistanceType	No	0.198426367457764	0.0424327848091114	0.00947410538124342	0.163391124242981	CPLM	1.01	6	6	0
glnP	ResistanceType	No	0.135087734568807	0.0292776241099747	0.00992555017668765	0.163391124242981	CPLM	1.01	6	6	0
pheP	ResistanceType	No	0.144268027833246	0.0303316189169557	0.00892906146080576	0.163391124242981	CPLM	1.01	6	6	0
yeeV	ResistanceType	No	0.146503391420622	0.0313523863044173	0.00949849234143548	0.163391124242981	CPLM	1.01	6	6	0
yieF	ResistanceType	No	-0.0939655218574375	0.0201120971327808	0.00950351001078781	0.163391124242981	CPLM	1.99	6	6	0
argA	ResistanceType	No	0.208229614817239	0.0469091202578189	0.0113427176310063	0.183021477707085	CPLM	1.01	6	6	0
ybhC	ResistanceType	No	0.120495590395961	0.0273079118785072	0.0115782948151605	0.183708944400546	CPLM	1.01	6	6	0
yiiF	ResistanceType	No	-0.164327851222439	0.0375017222899509	0.0118575390114218	0.185055362932354	CPLM	1.99	6	6	0
lamB	ResistanceType	No	0.304209114755585	0.0719727549634087	0.0134051472173461	0.186702544960051	CPLM	1.01	6	6	0
lrhA	ResistanceType	No	0.13515737686459	0.0313976129358824	0.0125986756902123	0.186702544960051	CPLM	1.01	6	6	0
osmB	ResistanceType	No	-0.211968744198358	0.0491044950084419	0.0124799793912353	0.186702544960051	CPLM	1.99	6	6	0
tyrA	ResistanceType	No	0.111456391687237	0.0264429492908068	0.0135320121872306	0.186702544960051	CPLM	1.01	6	6	0
ybhB	ResistanceType	No	-0.0967019408380243	0.0227514002762798	0.0131541563450148	0.186702544960051	CPLM	1.99	6	6	0
yciN	ResistanceType	No	-0.0871736389186905	0.0203346195990754	0.0127769382970363	0.186702544960051	CPLM	1.99	6	6	0
yeeF	ResistanceType	No	0.128190626027891	0.0302862961087398	0.0133419655589508	0.186702544960051	CPLM	1.01	6	6	0
ygaC	ResistanceType	No	-0.171192306229963	0.0397066173415536	0.0125318773202523	0.186702544960051	CPLM	1.99	6	6	0
glnQ	ResistanceType	No	0.119533239025631	0.0289647052705548	0.0145310164519226	0.18869050285668	CPLM	1.01	6	6	0
kdtA	ResistanceType	No	0.144091208726238	0.0350125147549245	0.0146671189195319	0.18869050285668	CPLM	1.01	6	6	0
manX	ResistanceType	No	0.128754579844519	0.0310479947350732	0.0142955792751105	0.18869050285668	CPLM	1.01	6	6	0
yfcZ	ResistanceType	No	-0.110702037105292	0.0267606634036674	0.0144146042429544	0.18869050285668	CPLM	1.99	6	6	0
yjfN	ResistanceType	No	-0.170022910474058	0.0408723382748144	0.0141468638800669	0.18869050285668	CPLM	1.99	6	6	0
adhP	ResistanceType	No	-0.167176340593924	0.0413174737917269	0.0155250712869548	0.189675607155477	CPLM	1.99	6	6	0
metJ	ResistanceType	No	-0.0508112136136775	0.0125421841430613	0.0154600929548731	0.189675607155477	CPLM	1.99	6	6	0
narP	ResistanceType	No	0.128646553767557	0.0320874634423259	0.0160066052406353	0.189675607155477	CPLM	1.01	6	6	0
pntB	ResistanceType	No	0.129843454116458	0.0324163945596949	0.0160566726801199	0.189675607155477	CPLM	1.01	6	6	0
tpiA	ResistanceType	No	-0.0818341744606755	0.0204464956511922	0.0160985050099889	0.189675607155477	CPLM	1.99	6	6	0
ydgH	ResistanceType	No	0.0971286406164788	0.0243322154880739	0.0162409445065109	0.189675607155477	CPLM	1.01	6	6	0
ydhA	ResistanceType	No	-0.0851690668527292	0.0213742839020332	0.0163376048180138	0.189675607155477	CPLM	1.99	6	6	0
yhfZ	ResistanceType	No	0.175137706080314	0.0435132345830746	0.0157997536760629	0.189675607155477	CPLM	1.01	6	6	0
manY	ResistanceType	No	0.113070589081219	0.0284846602735586	0.0165452497604596	0.189772021348886	CPLM	1.01	6	6	0
glgX	ResistanceType	No	0.108425392822969	0.0281570998420717	0.018291202121368	0.193599991231544	CPLM	1.01	6	6	0
manZ	ResistanceType	No	0.115210172733819	0.0299246813201782	0.0183025201794527	0.193599991231544	CPLM	1.01	6	6	0
metC	ResistanceType	No	0.125749343609936	0.0323780923411075	0.0177841651155912	0.193599991231544	CPLM	1.01	6	6	0
metV	ResistanceType	No	0.0860644130777587	0.0222985622944711	0.0181528240483565	0.193599991231544	CPLM	1.01	6	6	0
metW	ResistanceType	No	0.0893477705815486	0.0231587764581391	0.0181773847631783	0.193599991231544	CPLM	1.01	6	6	0
metZ	ResistanceType	No	0.092974576113701	0.0237215917648372	0.0172563093198638	0.193599991231544	CPLM	1.01	6	6	0
rraA	ResistanceType	No	-0.0547511516109468	0.0140798324272131	0.0177112757296576	0.193599991231544	CPLM	1.99	6	6	0
ytfK	ResistanceType	No	-0.201394238602845	0.0525541149923681	0.0185841790267057	0.194419103663998	CPLM	1.99	6	6	0
malZ	ResistanceType	No	0.206223825476438	0.0540300400188864	0.0188293150701398	0.194842477682316	CPLM	1.01	6	6	0
glgB	ResistanceType	No	0.102347681313378	0.0270098610360744	0.0192809894320454	0.195271297226673	CPLM	1.01	6	6	0
rbsD	ResistanceType	No	0.247250596059532	0.0650743555433923	0.019111735631872	0.195271297226673	CPLM	1.01	6	6	0
metY	ResistanceType	No	0.0983907554495253	0.0264775704320072	0.0205460341350791	0.201647675222632	CPLM	1.01	6	6	0
mglB	ResistanceType	No	0.255938544105139	0.0688298477128103	0.0205026951819235	0.201647675222632	CPLM	1.01	6	6	0
speC	ResistanceType	No	0.137092716106175	0.0367459852617438	0.0202823632726383	0.201647675222632	CPLM	1.01	6	6	0
ybgA	ResistanceType	No	-0.0786053032008786	0.0212535419436093	0.0208635945775186	0.202674918753038	CPLM	1.99	6	6	0
bdm	ResistanceType	No	-0.278518554906118	0.0767245851497682	0.0221577640041082	0.202828762806836	CPLM	1.99	6	6	0
glpT	ResistanceType	No	0.237290350372284	0.0647915889297332	0.021535419507035	0.202828762806836	CPLM	1.01	6	6	0
ilvC	ResistanceType	No	0.108916748733399	0.0298699445307122	0.0218414379787785	0.202828762806836	CPLM	1.01	6	6	0
kdpC	ResistanceType	No	-0.12778716283483	0.0350398963390782	0.0218310480043568	0.202828762806836	CPLM	1.99	6	6	0
stpA	ResistanceType	No	0.118645100960318	0.0326790592851013	0.0221478124188718	0.202828762806836	CPLM	1.01	6	6	0
yqgB	ResistanceType	No	0.102199192161346	0.0280285743144995	0.0218436728051463	0.202828762806836	CPLM	1.01	6	6	0
aroF	ResistanceType	No	0.0973440821519619	0.0269714905517112	0.0225737084749137	0.203697700277095	CPLM	1.01	6	6	0
btuC	ResistanceType	No	0.138816826110509	0.0387234740634041	0.0230681085905989	0.203697700277095	CPLM	1.01	6	6	0
pstA	ResistanceType	No	0.101819718832609	0.0284185516950473	0.0231085626364772	0.203697700277095	CPLM	1.01	6	6	0
serW	ResistanceType	No	0.15488305122207	0.0431283210340895	0.0229369696929426	0.203697700277095	CPLM	1.01	6	6	0
